Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2022,1,,Monthly,OREGON,BAKER,41001,,,,,,268.8737994093594,272.3041104043616,266.2638689232167,1.1514402544298048,70.95838255338482,4.9632853248523405,1.9328934575193093,0.2173132666969559,0.6596292594275329,1737.9151522035438,0.1306805997273966
2022,1,,Monthly,OREGON,BENTON,41003,,,,,,278.325189516129,282.23056720430105,275.53785752688174,2.811432795698925,80.92244623655914,5.547084677419355,2.77647311827957,0.3001344086021505,0.9450645161290324,1220.305376344086,0.1755524193548387
2022,1,,Monthly,OREGON,CLACKAMAS,41005,,,,,,276.3569338505513,280.38059289505924,273.33628501429155,5.819661902817477,68.75912617394856,6.454626786443446,2.7783340138832178,0.3529073091057574,1.065255206206615,1361.1401796651694,0.2534589628419763
2022,1,,Monthly,OREGON,CLATSOP,41007,,,,,,279.00914470046087,282.1090414746544,276.47757511520734,8.320741013824886,77.43972350230415,7.0245281105990784,4.090486635944701,0.1196921658986175,2.327294930875576,1160.1223041474657,0.2104829493087557
2022,1,,Monthly,OREGON,COLUMBIA,41009,,,,,,277.267366058906,280.8619621318373,274.6622468443198,5.38971809256662,80.28246844319776,5.239192145862552,2.513667601683029,-0.1367671809256662,1.4958485273492286,1122.8984572230013,0.1612300140252454
2022,1,,Monthly,OREGON,COOS,41011,,,,,,280.79434640198514,284.9192560794045,277.6199106699752,2.9082883374689827,72.39965260545905,6.109209925558313,3.5870823821339948,0.4028501240694789,1.5547320099255582,1762.702034739454,0.3020243176178659
2022,1,,Monthly,OREGON,CROOK,41013,,,,,,273.3619370199693,279.570763952893,269.4919644137224,0.732699692780338,61.29836149513569,6.210453405017921,2.7004242191500256,0.3324554531490015,1.1864444444444446,2065.5549411162315,0.2719121863799283
2022,1,,Monthly,OREGON,CURRY,41015,,,,,,280.5301257597008,284.3880458158018,277.7937026647966,4.712518466573164,65.27321178120617,6.270437587657784,3.0086568489948573,0.2537989714820009,1.2964721832632071,2086.2433847592333,0.3806951846657316
2022,1,,Monthly,OREGON,DESCHUTES,41017,,,,,,272.71456398730834,278.473176097303,268.79379402432573,2.317438656795346,63.16218931782126,6.657724748810153,2.679415124272872,1.0225100475938655,1.160669487043892,2073.837361184558,0.2425684822845055
2022,1,,Monthly,OREGON,DOUGLAS,41019,,,,,,278.51500796328787,282.9646554190849,275.5048281819409,2.7251984073424214,65.26844378458631,5.182616682413281,2.01452395734917,0.1267565123498447,0.910250101228236,1867.377473343231,0.3253876366581185
